item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
쌀,111,20kg(20kg),1,상품,4,20kg,당일 (01/02),"50,027",1일전 (01/01),-,1주일전 (12/26),"51,361",2주일전 (12/19),"52,748",1개월전,"51,882",1년전,"54,952",일평년,"53,200",2023-01-02
찹쌀,112,일반계(1kg),1,상품,4,1kg,당일 (01/02),"3,681",1일전 (01/01),-,1주일전 (12/26),"3,638",2주일전 (12/19),"3,593",1개월전,"3,639",1년전,"4,711",일평년,"4,593",2023-01-02
콩,141,흰 콩(국산)(500g),1,상품,4,500g,당일 (01/02),"5,457",1일전 (01/01),-,1주일전 (12/26),"5,420",2주일전 (12/19),"5,420",1개월전,"5,417",1년전,"5,348",일평년,"4,997",2023-01-02
팥,142,붉은 팥(국산)(500g),0,상품,4,500g,당일 (01/02),"6,668",1일전 (01/01),-,1주일전 (12/26),"6,440",2주일전 (12/19),"6,927",1개월전,"6,310",1년전,"7,811",일평년,"8,015",2023-01-02
녹두,143,국산(500g),0,상품,4,500g,당일 (01/02),"10,683",1일전 (01/01),-,1주일전 (12/26),"10,654",2주일전 (12/19),"10,654",1개월전,"10,829",1년전,"11,069",일평년,"7,625",2023-01-02
고구마,151,밤(1kg),0,상품,4,1kg,당일 (01/02),"5,232",1일전 (01/01),-,1주일전 (12/26),"5,188",2주일전 (12/19),"5,141",1개월전,"5,260",1년전,"5,428",일평년,"5,075",2023-01-02
고구마,151,밤(1kg),0,중품,5,1kg,당일 (01/02),"4,076",1일전 (01/01),-,1주일전 (12/26),"4,076",2주일전 (12/19),"4,093",1개월전,"4,093",1년전,"4,415",일평년,"4,123",2023-01-02
감자,152,수미(노지)(100g),1,상품,4,100g,당일 (01/02),430,1일전 (01/01),-,1주일전 (12/26),420,2주일전 (12/19),405,1개월전,420,1년전,410,일평년,368,2023-01-02
감자,152,수미(노지)(100g),1,중품,5,100g,당일 (01/02),352,1일전 (01/01),-,1주일전 (12/26),360,2주일전 (12/19),356,1개월전,348,1년전,257,일평년,262,2023-01-02
쌀,111,20kg(20kg),1,상품,4,20kg,당일 (01/03),"50,027",1일전 (01/02),"50,027",1주일전 (12/27),"51,402",2주일전 (12/20),"52,925",1개월전,"51,882",1년전,"54,935",일평년,"53,172",2023-01-03
찹쌀,112,일반계(1kg),1,상품,4,1kg,당일 (01/03),"3,681",1일전 (01/02),"3,681",1주일전 (12/27),"3,628",2주일전 (12/20),"3,593",1개월전,"3,639",1년전,"4,710",일평년,"4,585",2023-01-03
