item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
사과,411,후지(10개),5,상품,4,10개,당일 (01/02),"22,223",1일전 (01/01),-,1주일전 (12/26),"21,730",2주일전 (12/19),"21,944",1개월전,"22,276",1년전,"25,770",일평년,"21,493",2023-01-02
사과,411,후지(10개),5,중품,5,10개,당일 (01/02),"15,385",1일전 (01/01),-,1주일전 (12/26),"15,756",2주일전 (12/19),"16,146",1개월전,"15,717",1년전,"17,024",일평년,"15,886",2023-01-02
배,412,신고(10개),1,상품,4,10개,당일 (01/02),"25,787",1일전 (01/01),-,1주일전 (12/26),"25,783",2주일전 (12/19),"26,542",1개월전,"25,701",1년전,"36,901",일평년,"35,288",2023-01-02
배,412,신고(10개),1,중품,5,10개,당일 (01/02),"22,806",1일전 (01/01),-,1주일전 (12/26),"22,074",2주일전 (12/19),"21,118",1개월전,"20,591",1년전,"26,976",일평년,"23,348",2023-01-02
포도,414,레드글로브 페루(~23.5)(1kg),9,상품,4,1kg,당일 (01/02),"17,130",1일전 (01/01),-,1주일전 (12/26),"18,540",2주일전 (12/19),-,1개월전,-,1년전,-,일평년,-,2023-01-02
포도,414,톰슨 미국(~23.5)(1kg),10,상품,4,1kg,당일 (01/02),-,1일전 (01/01),-,1주일전 (12/26),"14,030",2주일전 (12/19),"13,599",1개월전,"12,536",1년전,-,일평년,-,2023-01-02
포도,414,샤인머스켓(2kg),12,L과,24,2kg,당일 (01/02),"26,028",1일전 (01/01),-,1주일전 (12/26),"26,839",2주일전 (12/19),"26,715",1개월전,-,1년전,"39,445",일평년,"37,249",2023-01-02
포도,414,샤인머스켓(2kg),12,M과,25,2kg,당일 (01/02),"20,464",1일전 (01/01),-,1주일전 (12/26),"20,341",2주일전 (12/19),"22,639",1개월전,"23,681",1년전,"34,860",일평년,"34,860",2023-01-02
감귤,415,노지(10개),1,M과,15,10개,당일 (01/02),"3,384",1일전 (01/01),-,1주일전 (12/26),"3,270",2주일전 (12/19),"3,216",1개월전,"3,122",1년전,"2,888",일평년,"2,814",2023-01-02
감귤,415,노지(10개),1,S과,16,10개,당일 (01/02),"2,734",1일전 (01/01),-,1주일전 (12/26),"2,600",2주일전 (12/19),"2,535",1개월전,"2,533",1년전,"2,216",일평년,"2,198",2023-01-02
단감,416,단감(10개),0,상품,4,10개,당일 (01/02),"12,596",1일전 (01/01),-,1주일전 (12/26),"12,319",2주일전 (12/19),"11,880",1개월전,"11,701",1년전,"14,795",일평년,"12,021",2023-01-02
단감,416,단감(10개),0,중품,5,10개,당일 (01/02),"8,504",1일전 (01/01),-,1주일전 (12/26),"8,427",2주일전 (12/19),"8,207",1개월전,"7,896",1년전,"11,149",일평년,"9,041",2023-01-02
바나나,418,수입(100g),2,상품,4,100g,당일 (01/02),299,1일전 (01/01),-,1주일전 (12/26),308,2주일전 (12/19),318,1개월전,319,1년전,296,일평년,286,2023-01-02
바나나,418,수입(100g),2,중품,5,100g,당일 (01/02),274,1일전 (01/01),-,1주일전 (12/26),278,2주일전 (12/19),279,1개월전,284,1년전,283,일평년,252,2023-01-02
참다래,419,그린 뉴질랜드(10개),2,상품,4,10개,당일 (01/02),"8,423",1일전 (01/01),-,1주일전 (12/26),"8,506",2주일전 (12/19),"8,582",1개월전,"8,859",1년전,"7,272",일평년,"6,864",2023-01-02
파인애플,420,수입(1개),2,상품,4,1개,당일 (01/02),"6,792",1일전 (01/01),-,1주일전 (12/26),"6,667",2주일전 (12/19),"6,650",1개월전,"6,626",1년전,"6,219",일평년,"5,697",2023-01-02
레몬,424,수입(10개),0,상품,4,10개,당일 (01/02),"9,430",1일전 (01/01),-,1주일전 (12/26),"9,449",2주일전 (12/19),"9,409",1개월전,"9,343",1년전,"10,580",일평년,"10,100",2023-01-02
레몬,424,수입(10개),0,중품,5,10개,당일 (01/02),"8,227",1일전 (01/01),-,1주일전 (12/26),"8,110",2주일전 (12/19),"8,089",1개월전,"8,339",1년전,"8,414",일평년,"8,069",2023-01-02
망고,428,수입(1개),0,상품,4,1개,당일 (01/02),"5,775",1일전 (01/01),-,1주일전 (12/26),"5,940",2주일전 (12/19),"5,371",1개월전,"5,771",1년전,"5,717",일평년,"5,174",2023-01-02
아보카도,430,수입(1개),0,상품,4,1개,당일 (01/02),"2,116",1일전 (01/01),-,1주일전 (12/26),"1,952",2주일전 (12/19),"1,973",1개월전,"1,934",1년전,-,일평년,-,2023-01-02
사과,411,후지(10개),5,상품,4,10개,당일 (01/03),"22,427",1일전 (01/02),"22,223",1주일전 (12/27),"21,436",2주일전 (12/20),"21,858",1개월전,"22,276",1년전,"25,785",일평년,"21,505",2023-01-03
사과,411,후지(10개),5,중품,5,10개,당일 (01/03),"15,366",1일전 (01/02),"15,385",1주일전 (12/27),"15,830",2주일전 (12/20),"16,378",1개월전,"15,828",1년전,"17,028",일평년,"15,893",2023-01-03
배,412,신고(10개),1,상품,4,10개,당일 (01/03),"26,077",1일전 (01/02),"25,787",1주일전 (12/27),"25,761",2주일전 (12/20),"27,007",1개월전,"25,701",1년전,"36,901",일평년,"35,274",2023-01-03
배,412,신고(10개),1,중품,5,10개,당일 (01/03),"22,774",1일전 (01/02),"22,806",1주일전 (12/27),"22,383",2주일전 (12/20),"21,891",1개월전,"20,591",1년전,"26,971",일평년,"23,350",2023-01-03
포도,414,레드글로브 페루(~23.5)(1kg),9,상품,4,1kg,당일 (01/03),"17,130",1일전 (01/02),"17,130",1주일전 (12/27),"18,540",2주일전 (12/20),-,1개월전,-,1년전,-,일평년,-,2023-01-03
포도,414,톰슨 미국(~23.5)(1kg),10,상품,4,1kg,당일 (01/03),-,1일전 (01/02),-,1주일전 (12/27),"14,163",2주일전 (12/20),"13,599",1개월전,"12,536",1년전,-,일평년,-,2023-01-03
포도,414,샤인머스켓(2kg),12,L과,24,2kg,당일 (01/03),"26,491",1일전 (01/02),"26,028",1주일전 (12/27),"26,782",2주일전 (12/20),"26,709",1개월전,-,1년전,"39,532",일평년,"37,282",2023-01-03
포도,414,샤인머스켓(2kg),12,M과,25,2kg,당일 (01/03),"21,131",1일전 (01/02),"20,464",1주일전 (12/27),"20,026",2주일전 (12/20),"23,169",1개월전,"23,681",1년전,"35,532",일평년,"35,532",2023-01-03
감귤,415,노지(10개),1,M과,15,10개,당일 (01/03),"3,370",1일전 (01/02),"3,384",1주일전 (12/27),"3,284",2주일전 (12/20),"3,235",1개월전,"3,122",1년전,"2,888",일평년,"2,812",2023-01-03
감귤,415,노지(10개),1,S과,16,10개,당일 (01/03),"2,740",1일전 (01/02),"2,734",1주일전 (12/27),"2,627",2주일전 (12/20),"2,572",1개월전,"2,533",1년전,"2,207",일평년,"2,193",2023-01-03
단감,416,단감(10개),0,상품,4,10개,당일 (01/03),"12,494",1일전 (01/02),"12,596",1주일전 (12/27),"12,190",2주일전 (12/20),"11,911",1개월전,"11,701",1년전,"14,795",일평년,"12,007",2023-01-03
단감,416,단감(10개),0,중품,5,10개,당일 (01/03),"8,532",1일전 (01/02),"8,504",1주일전 (12/27),"8,507",2주일전 (12/20),"8,216",1개월전,"7,896",1년전,"11,109",일평년,"9,006",2023-01-03
바나나,418,수입(100g),2,상품,4,100g,당일 (01/03),300,1일전 (01/02),299,1주일전 (12/27),308,2주일전 (12/20),317,1개월전,319,1년전,296,일평년,286,2023-01-03
바나나,418,수입(100g),2,중품,5,100g,당일 (01/03),273,1일전 (01/02),274,1주일전 (12/27),278,2주일전 (12/20),278,1개월전,284,1년전,284,일평년,253,2023-01-03
참다래,419,그린 뉴질랜드(10개),2,상품,4,10개,당일 (01/03),"8,443",1일전 (01/02),"8,423",1주일전 (12/27),"8,503",2주일전 (12/20),"8,644",1개월전,"8,859",1년전,"7,110",일평년,"6,805",2023-01-03
파인애플,420,수입(1개),2,상품,4,1개,당일 (01/03),"6,792",1일전 (01/02),"6,792",1주일전 (12/27),"6,667",2주일전 (12/20),"6,635",1개월전,"6,626",1년전,"6,215",일평년,"5,696",2023-01-03
레몬,424,수입(10개),0,상품,4,10개,당일 (01/03),"9,403",1일전 (01/02),"9,430",1주일전 (12/27),"9,449",2주일전 (12/20),"9,389",1개월전,"9,343",1년전,"10,576",일평년,"10,119",2023-01-03
레몬,424,수입(10개),0,중품,5,10개,당일 (01/03),"8,227",1일전 (01/02),"8,227",1주일전 (12/27),"8,110",2주일전 (12/20),"8,089",1개월전,"8,339",1년전,"8,415",일평년,"8,078",2023-01-03
망고,428,수입(1개),0,상품,4,1개,당일 (01/03),"5,925",1일전 (01/02),"5,775",1주일전 (12/27),"5,940",2주일전 (12/20),"4,880",1개월전,"5,771",1년전,"5,717",일평년,"5,145",2023-01-03
아보카도,430,수입(1개),0,상품,4,1개,당일 (01/03),"2,116",1일전 (01/02),"2,116",1주일전 (12/27),"1,952",2주일전 (12/20),"1,966",1개월전,"1,934",1년전,-,일평년,-,2023-01-03
사과,411,후지(10개),5,상품,4,10개,당일 (01/04),"22,391",1일전 (01/03),"22,427",1주일전 (12/28),"21,516",2주일전 (12/21),"21,712",1개월전,"22,276",1년전,"25,816",일평년,"21,628",2023-01-04
사과,411,후지(10개),5,중품,5,10개,당일 (01/04),"15,440",1일전 (01/03),"15,366",1주일전 (12/28),"15,891",2주일전 (12/21),"16,286",1개월전,"15,828",1년전,"17,045",일평년,"15,887",2023-01-04
배,412,신고(10개),1,상품,4,10개,당일 (01/04),"26,112",1일전 (01/03),"26,077",1주일전 (12/28),"25,761",2주일전 (12/21),"27,007",1개월전,"25,701",1년전,"36,594",일평년,"35,152",2023-01-04
