item_name,item_code,kind_name,kind_code,rank,rank_code,unit,day1,dpr1,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7,date
무,231,월동(1개),6,중품,5,1개,당일 (01/02),"1,748",1일전 (01/01),-,1주일전 (12/26),"1,760",2주일전 (12/19),"1,622",1개월전,-,1년전,"1,601",일평년,"1,432",2023-01-02
당근,232,무세척(1kg),1,상품,4,1kg,당일 (01/02),"4,640",1일전 (01/01),-,1주일전 (12/26),"4,237",2주일전 (12/19),"4,468",1개월전,"4,665",1년전,"3,061",일평년,"3,488",2023-01-02
당근,232,무세척(1kg),1,중품,5,1kg,당일 (01/02),"2,982",1일전 (01/01),-,1주일전 (12/26),"2,957",2주일전 (12/19),"3,016",1개월전,"3,391",1년전,"2,316",일평년,"2,779",2023-01-02
열무,233,열무(1kg),0,상품,4,1kg,당일 (01/02),"2,951",1일전 (01/01),-,1주일전 (12/26),"2,925",2주일전 (12/19),"2,876",1개월전,"2,748",1년전,"4,501",일평년,"2,292",2023-01-02
건고추,241,화건(600g),0,상품,4,600g,당일 (01/02),"16,366",1일전 (01/01),-,1주일전 (12/26),"16,342",2주일전 (12/19),"16,567",1개월전,"16,584",1년전,"13,339",일평년,"17,415",2023-01-02
건고추,241,양건(~23.5)(600g),2,상품,4,600g,당일 (01/02),"18,727",1일전 (01/01),-,1주일전 (12/26),"18,727",2주일전 (12/19),"18,727",1개월전,"18,727",1년전,"17,208",일평년,"18,765",2023-01-02
풋고추,242,풋고추(녹광 등)(100g),0,상품,4,100g,당일 (01/02),"1,214",1일전 (01/01),-,1주일전 (12/26),"1,069",2주일전 (12/19),"1,112",1개월전,"1,143",1년전,996,일평년,906,2023-01-02
풋고추,242,꽈리고추(100g),2,상품,4,100g,당일 (01/02),"1,553",1일전 (01/01),-,1주일전 (12/26),"1,497",2주일전 (12/19),"1,461",1개월전,"1,019",1년전,"1,449",일평년,"1,207",2023-01-02
풋고추,242,꽈리고추(100g),2,중품,5,100g,당일 (01/02),958,1일전 (01/01),-,1주일전 (12/26),937,2주일전 (12/19),864,1개월전,709,1년전,922,일평년,791,2023-01-02
풋고추,242,청양고추(100g),3,상품,4,100g,당일 (01/02),"1,397",1일전 (01/01),-,1주일전 (12/26),"1,162",2주일전 (12/19),"1,028",1개월전,980,1년전,950,일평년,928,2023-01-02
풋고추,242,청양고추(100g),3,중품,5,100g,당일 (01/02),895,1일전 (01/01),-,1주일전 (12/26),792,2주일전 (12/19),709,1개월전,662,1년전,694,일평년,694,2023-01-02
풋고추,242,오이맛고추(100g),4,상품,4,100g,당일 (01/02),"1,050",1일전 (01/01),-,1주일전 (12/26),911,2주일전 (12/19),861,1개월전,821,1년전,-,일평년,-,2023-01-02
붉은고추,243,붉은고추(100g),0,상품,4,100g,당일 (01/02),"2,097",1일전 (01/01),-,1주일전 (12/26),"1,854",2주일전 (12/19),"1,750",1개월전,"1,562",1년전,"1,586",일평년,"1,568",2023-01-02
붉은고추,243,붉은고추(100g),0,중품,5,100g,당일 (01/02),"1,059",1일전 (01/01),-,1주일전 (12/26),"1,048",2주일전 (12/19),981,1개월전,921,1년전,792,일평년,936,2023-01-02
양파,245,양파(1kg),0,상품,4,1kg,당일 (01/02),"2,935",1일전 (01/01),-,1주일전 (12/26),"2,922",2주일전 (12/19),"2,867",1개월전,"2,792",1년전,"2,130",일평년,"1,964",2023-01-02
양파,245,양파(1kg),0,중품,5,1kg,당일 (01/02),"2,143",1일전 (01/01),-,1주일전 (12/26),"2,046",2주일전 (12/19),"2,046",1개월전,"2,056",1년전,"1,582",일평년,"1,587",2023-01-02
파,246,대파(1kg),0,상품,4,1kg,당일 (01/02),"3,530",1일전 (01/01),-,1주일전 (12/26),"3,295",2주일전 (12/19),"3,269",1개월전,"3,350",1년전,"2,775",일평년,"2,977",2023-01-02
파,246,대파(1kg),0,중품,5,1kg,당일 (01/02),"2,498",1일전 (01/01),-,1주일전 (12/26),"2,254",2주일전 (12/19),"2,264",1개월전,"2,244",1년전,"1,956",일평년,"2,027",2023-01-02
파,246,쪽파(1kg),2,상품,4,1kg,당일 (01/02),"7,990",1일전 (01/01),-,1주일전 (12/26),"6,593",2주일전 (12/19),"5,930",1개월전,"5,829",1년전,"7,460",일평년,"6,446",2023-01-02
파,246,쪽파(1kg),2,중품,5,1kg,당일 (01/02),"5,066",1일전 (01/01),-,1주일전 (12/26),"4,752",2주일전 (12/19),"3,836",1개월전,"3,846",1년전,"5,444",일평년,"4,181",2023-01-02
생강,247,국산(1kg),0,상품,4,1kg,당일 (01/02),"12,677",1일전 (01/01),-,1주일전 (12/26),"13,522",2주일전 (12/19),"13,315",1개월전,"11,810",1년전,"8,038",일평년,"10,686",2023-01-02
고춧가루,248,국산(1kg),0,상품,4,1kg,당일 (01/02),"30,538",1일전 (01/01),-,1주일전 (12/26),"30,111",2주일전 (12/19),"30,269",1개월전,"30,074",1년전,"30,355",일평년,"30,967",2023-01-02
